Hero_Pair,Matches,Wins,WinRate
cresht-skud,5.01,1.67,0.3333
murad-thane,5.0,2.78,0.556
nakroth-thane,5.0,2.89,0.578
iggy-wiro,5.0,3.22,0.644
cresht-zata,5.0,1.55,0.31
thane-violet,5.0,1.67,0.334
florentino-toro,4.99,1.11,0.2224
mina-stuart,4.99,1.0,0.2004
florentino-ybneth,4.99,1.33,0.2665
edras-valhein,4.98,2.77,0.5562
sinestrea-thane,4.98,3.88,0.7791
biron-rouie,4.97,2.87,0.5775
fennik-skud,4.97,1.98,0.3984
lorion-violet,4.89,2.66,0.544
cresht-ignis,4.89,2.45,0.501
riktor-zephys,4.88,0.77,0.1578
nakroth-valhein,4.88,1.44,0.2951
riktor-sinestrea,4.88,3.22,0.6598
mganga-ryoma,4.88,2.78,0.5697
liliana-sinestrea,4.88,2.21,0.4529
ignis-taara,4.87,0.99,0.2033
lorion-zuka,4.87,2.54,0.5216
billow-thane,4.87,1.1,0.2259
elandorr-teemee,4.87,2.65,0.5441
teemee-zata,4.87,3.32,0.6817
murad-tachi,4.87,3.55,0.729
mganga-yena,4.86,2.88,0.5926
ryoma-wisp,4.86,2.65,0.5453
keera-mganga,4.86,0.99,0.2037
nakroth-violet,4.78,3.33,0.6967
krizzix-zata,4.77,3.55,0.7442
omen-stuart,4.77,2.1,0.4403
valhein-yue,4.77,2.33,0.4885
iggy-nakroth,4.77,1.44,0.3019
mganga-wisp,4.76,3.11,0.6534
liliana-mina,4.76,1.21,0.2542
keera-rouie,4.75,2.21,0.4653
keera-lorion,4.75,2.99,0.6295
aya-taara,4.74,1.43,0.3017
flowborn-thane,4.68,2.23,0.4765
eland'orr-lorion,4.68,2.67,0.5705
cresht-violet,4.67,2.56,0.5482
enzo-florentino,4.67,2.67,0.5717
capheny-nakroth,4.67,1.55,0.3319
nakroth-zata,4.66,2.33,0.5
elandorr-wiro,4.66,2.66,0.5708
mganga-thane,4.66,2.11,0.4528
iggy-mina,4.66,3.66,0.7854
annette-florentino,4.66,3.55,0.7618
taara-valhein,4.65,2.43,0.5226
ryoma-valhein,4.65,2.44,0.5247
biron-ignis,4.65,2.99,0.643
taara-ybneth,4.65,3.66,0.7871
hayate-yena,4.65,2.76,0.5935
fennik-sinestrea,4.65,1.88,0.4043
skud-tachi,4.64,2.2,0.4741
mganga-sinestrea,4.64,3.2,0.6897
capheny-ignis,4.64,0.77,0.1659
iggy-tachi,4.64,2.1,0.4526
qi-taara,4.63,1.43,0.3089
airi-y'bneth,4.57,4.57,1.0
flowborn-ryoma,4.57,2.34,0.512
eland'orr-enzo,4.57,3.01,0.6586
alice-keera,4.57,1.56,0.3414
annette-skud,4.56,1.34,0.2939
airi-teemee,4.56,2.23,0.489
butterfly-toro,4.56,1.11,0.2434
zata-zuka,4.56,2.78,0.6096
biron-yue,4.55,1.22,0.2681
dolia-valhein,4.55,1.11,0.244
dyadia-mganga,4.55,1.22,0.2681
ignis-zephys,4.54,3.1,0.6828
biron-valhein,4.54,2.44,0.5374
edras-lorion,4.54,0.0,0.0
florentino-tachi,4.54,2.11,0.4648
ignis-keera,4.53,3.21,0.7086
rouie-yena,4.53,2.54,0.5607
hayate-yue,4.52,2.54,0.5619
flowborn-ignis,4.46,2.79,0.6256
flowborn-taara,4.46,2.34,0.5247
capheny-y'bneth,4.46,3.01,0.6749
capheny-tamyn,4.45,1.78,0.4
dolia-wisp,4.45,3.56,0.8
cresht-tamyn,4.45,3.56,0.8
tamyn-wisp,4.45,1.78,0.4
alice-marja,4.45,1.78,0.4
annette-mina,4.45,2.67,0.6
airi-valhein,4.44,1.11,0.25
annette-maloch,4.44,3.33,0.75
lorion-riktor,4.43,2.87,0.6479
riktor-ybneth,4.43,3.54,0.7991
skud-wisp,4.43,1.88,0.4244
elsu-taara,4.42,2.1,0.4751
edras-zata,4.42,1.88,0.4253
dolia-zephys,4.42,1.32,0.2986
hayate-thane,4.42,2.1,0.4751
annette-wisp,4.42,3.32,0.7511
florentino-zata,4.42,2.21,0.5
billow-valhein,4.41,1.43,0.3243
stuart-teemee,4.41,2.53,0.5737
ryoma-tamyn,4.34,1.78,0.4101
airi-astrid,4.34,2.56,0.5899
alice-stuart,4.34,2.45,0.5645
astrid-qi,4.34,3.45,0.7949
capheny-wiro,4.34,0.78,0.1797
astrid-toro,4.34,4.34,1.0
airi-wiro,4.34,3.23,0.7442
astrid-rouie,4.34,4.34,1.0
annette-biron,4.33,2.0,0.4619
fennik-maloch,4.32,0.33,0.0764
edras-maloch,4.32,1.55,0.3588
stuart-thane,4.32,2.0,0.463
ignis-thane,4.32,3.11,0.7199
mina-wisp,4.31,4.09,0.949
iggy-thane,4.31,3.32,0.7703
dolia-qi,4.31,1.78,0.413
billow-murad,4.3,1.87,0.4349
nakroth-y'bneth,4.24,1.34,0.316
annette-flowborn,4.23,3.34,0.7896
cresht-liliana,4.23,2.45,0.5792
murad-stuart,4.22,2.22,0.5261
mina-yue,4.22,1.66,0.3934
cresht-tachi,4.22,2.11,0.5
chaugnar-valhein,4.22,2.11,0.5
taara-yue,4.22,2.11,0.5
ignis-wisp,4.22,0.88,0.2085
florentino-maloch,4.22,1.78,0.4218
ryoma-zephys,4.22,1.33,0.3152
annette-valhein,4.21,3.22,0.7648
ybneth-zata,4.21,2.44,0.5796
dolia-fennik,4.21,1.21,0.2874
keera-taara,4.21,0.44,0.1045
maloch-wisp,4.21,2.55,0.6057
qi-valhein,4.2,1.21,0.2881
elsu-ybneth,4.19,2.65,0.6325
dolia-lorion,4.19,1.54,0.3675
mina-violet,4.12,1.22,0.2961
astrid-dolia,4.12,3.23,0.784
astrid-taara,4.12,3.56,0.8641
flowborn-yena,4.12,1.78,0.432
alice-thane,4.12,2.45,0.5947
mganga-violet,4.11,1.55,0.3771
annette-wiro,4.11,1.78,0.4331
riktor-tachi,4.11,1.22,0.2968
violet-ybneth,4.11,3.0,0.7299
maloch-violet,4.11,3.22,0.7835
sinestrea-taara,4.1,1.99,0.4854
biron-maloch,4.1,0.33,0.0805
keera-zata,4.1,1.22,0.2976
edras-enzo,4.1,2.22,0.5415
biron-teemee,4.09,1.99,0.4866
annette-elandorr,4.09,2.77,0.6773
enzo-iggy,4.08,1.87,0.4583
eland'orr-iggy,4.02,1.79,0.4453
cresht-flowborn,4.01,1.78,0.4439
billow-y'bneth,4.01,2.45,0.611
baldum-biron,4.0,2.89,0.7225
florentino-nakroth,4.0,1.67,0.4175
maloch-yue,4.0,2.33,0.5825
florentino-lorion,3.99,2.66,0.6667
rouie-teemee,3.99,2.44,0.6115
ignis-ryoma,3.99,2.78,0.6967
biron-liliana,3.99,2.11,0.5288
florentino-keera,3.99,1.21,0.3033
elsu-rouie,3.99,0.89,0.2231
hayate-maloch,3.98,0.66,0.1658
elandorr-florentino,3.97,1.54,0.3879
fennik-teemee,3.97,1.54,0.3879
elandorr-iggy,3.97,2.1,0.529
airi-eland'orr,3.9,3.12,0.8
nakroth-teemee,3.9,2.23,0.5718
enzo-taara,3.89,1.22,0.3136
airi-liliana,3.89,0.33,0.0848
capheny-riktor,3.88,2.33,0.6005
liliana-toro,3.88,0.66,0.1701
biron-elsu,3.88,2.56,0.6598
nakroth-ryoma,3.87,0.77,0.199
biron-keera,3.86,2.54,0.658
elsu-qi,3.86,0.77,0.1995
stuart-yena,3.86,2.65,0.6865
moren-toro,3.86,1.32,0.342
fennik-liliana,3.86,2.09,0.5415
fennik-taara,3.85,2.75,0.7143
eland'orr-toro,3.79,1.0,0.2639
eland'orr-taara,3.79,0.78,0.2058
skud-wiro,3.78,1.11,0.2937
enzo-zuka,3.78,2.22,0.5873
billow-gildur,3.78,0.22,0.0582
mina-zata,3.77,1.32,0.3501
enzo-yena,3.77,2.33,0.618
toro-zuka,3.76,1.77,0.4707
edras-ryoma,3.76,1.55,0.4122
edras-wisp,3.76,2.44,0.6489
aya-billow,3.76,2.54,0.6755
fennik-iggy,3.75,1.54,0.4107
keera-krizzix,3.75,3.2,0.8533
eland'orr-tachi,3.68,2.9,0.788
skud-y'bneth,3.68,3.01,0.8179
sinestrea-wisp,3.67,2.22,0.6049
maloch-nakroth,3.67,2.78,0.7575
qi-violet,3.67,1.11,0.3025
edras-elandorr,3.66,1.55,0.4235
biron-edras,3.66,1.22,0.3333
mina-nakroth,3.66,0.66,0.1803
billow-krizzix,3.66,1.11,0.3033
ybneth-zephys,3.66,0.22,0.0601
wisp-yue,3.66,2.11,0.5765
billow-riktor,3.65,2.1,0.5753
elandorr-ignis,3.65,1.99,0.5452
hayate-riktor,3.65,2.76,0.7562
hayate-murad,3.63,1.98,0.5455
alice-astrid,3.56,3.56,1.0
astrid-hayate,3.56,1.78,0.5
astrid-flowborn,3.56,1.78,0.5
astrid-lorion,3.56,1.78,0.5
lorion-tamyn,3.56,0.89,0.25
